Datos_reportados,Nuevos_casos,V,Casos_Proyectados
05/01/20,0,1,7425.46
12/01/20,0,2,7408.22
19/01/20,0,3,7390.98
26/01/20,0,4,7373.74
02/02/20,0,5,7356.5
09/02/20,0,6,7339.26
16/02/20,0,7,7322.02
23/02/20,0,8,7304.78
01/03/20,0,9,7287.54
08/03/20,0,10,7270.3
15/03/20,1,11,7253.06
22/03/20,11,12,7235.82
29/03/20,65,13,7218.58
05/04/20,-27,14,7201.34
12/04/20,87,15,7184.1
19/04/20,98,16,7166.86
26/04/20,195,17,7149.62
03/05/20,214,18,7132.38
10/05/20,256,19,7115.14
17/05/20,743,20,7097.9
24/05/20,1100,21,7080.66
31/05/20,1864,22,7063.42
07/06/20,1878,23,7046.18
14/06/20,2497,24,7028.94
21/06/20,3527,25,7011.7
28/06/20,3319,26,6994.46
05/07/20,5465,27,6977.22
12/07/20,6326,28,6959.98
19/07/20,6190,29,6942.74
26/07/20,10683,30,6925.5
02/08/20,6487,31,6908.26
09/08/20,5210,32,6891.02
16/08/20,6124,33,6873.78
23/08/20,5543,34,6856.54
30/08/20,5823,35,6839.3
06/09/20,3802,36,6822.06
13/09/20,4177,37,6804.82
20/09/20,3494,38,6787.58
27/09/20,4550,39,6770.34
04/10/20,4046,40,6753.1
11/10/20,3796,41,6735.86
18/10/20,3484,42,6718.62
25/10/20,3604,43,6701.38
01/11/20,3307,44,6684.14
08/11/20,3111,45,6666.9
15/11/20,3669,46,6649.66
22/11/20,3698,47,6632.42
29/11/20,3381,48,6615.18
06/12/20,3554,49,6597.94
13/12/20,3747,50,6580.7
20/12/20,3496,51,6563.46
27/12/20,2576,52,6546.22
03/01/21,3145,53,6528.98
10/01/21,4811,54,6511.74
17/01/21,5471,55,6494.5
24/01/21,5292,56,6477.26
31/01/21,5228,57,6460.02
07/02/21,3819,58,6442.78
14/02/21,4134,59,6425.54
21/02/21,3860,60,6408.3
28/02/21,3404,61,6391.06
07/03/21,4002,62,6373.82
14/03/21,4342,63,6356.58
21/03/21,4980,64,6339.34
28/03/21,5391,65,6322.1
04/04/21,2189,66,6304.86
11/04/21,7401,67,6287.62
18/04/21,9667,68,6270.38
25/04/21,9000,69,6253.14
02/05/21,7170,70,6235.9
09/05/21,6406,71,6218.66
16/05/21,6234,72,6201.42
23/05/21,5989,73,6184.18
30/05/21,6731,74,6166.94
06/06/21,7555,75,6149.7
13/06/21,9739,76,6132.46
20/06/21,8816,77,6115.22
27/06/21,10905,78,6097.98
04/07/21,10337,79,6080.74
11/07/21,16122,80,6063.5
18/07/21,15815,81,6046.26
25/07/21,17690,82,6029.02
01/08/21,17668,83,6011.78
08/08/21,21026,84,5994.54
15/08/21,22221,85,5977.3
22/08/21,26188,86,5960.06
29/08/21,25834,87,5942.82
05/09/21,23066,88,5925.58
12/09/21,22835,89,5908.34
19/09/21,19768,90,5891.1
26/09/21,19182,91,5873.86
03/10/21,16962,92,5856.62
10/10/21,13243,93,5839.38
17/10/21,8878,94,5822.14
24/10/21,5772,95,5804.9
31/10/21,7943,96,5787.66
07/11/21,4013,97,5770.42
14/11/21,3721,98,5753.18
21/11/21,4577,99,5735.94
28/11/21,3782,100,5718.7
05/12/21,1545,101,5701.46
12/12/21,2804,102,5684.22
19/12/21,1605,103,5666.98
26/12/21,1580,104,5649.74
02/01/22,3330,105,5632.5
09/01/22,7254,106,5615.26
16/01/22,13334,107,5598.02
23/01/22,17070,108,5580.78
30/01/22,19525,109,5563.54
06/02/22,20072,110,5546.3
13/02/22,24363,111,5529.06
20/02/22,23304,112,5511.82
27/02/22,20294,113,5494.58
06/03/22,15779,114,5477.34
13/03/22,13390,115,5460.1
20/03/22,11367,116,5442.86
27/03/22,9034,117,5425.62
03/04/22,6736,118,5408.38
10/04/22,4600,119,5391.14
17/04/22,2896,120,5373.9
24/04/22,3964,121,5356.66
01/05/22,4527,122,5339.42
08/05/22,2939,123,5322.18
15/05/22,3070,124,5304.94
22/05/22,3925,125,5287.7
29/05/22,3509,126,5270.46
05/06/22,4284,127,5253.22
12/06/22,6050,128,5235.98
19/06/22,8756,129,5218.74
26/06/22,14670,130,5201.5
03/07/22,22250,131,5184.26
10/07/22,23979,132,5167.02
17/07/22,38239,133,5149.78
24/07/22,26772,134,5132.54
31/07/22,33440,135,5115.3
07/08/22,16376,136,5098.06
14/08/22,16199,137,5080.82
21/08/22,14792,138,5063.58
28/08/22,11412,139,5046.34
04/09/22,8006,140,5029.1
11/09/22,6437,141,5011.86
18/09/22,3830,142,4994.62
25/09/22,4474,143,4977.38
02/10/22,5190,144,4960.14
09/10/22,4248,145,4942.9
16/10/22,3977,146,4925.66
23/10/22,2998,147,4908.42
30/10/22,4155,148,4891.18
06/11/22,2093,149,4873.94
13/11/22,2833,150,4856.7
20/11/22,2928,151,4839.46
27/11/22,5099,152,4822.22
04/12/22,5700,153,4804.98
11/12/22,10137,154,4787.74
18/12/22,13657,155,4770.5
25/12/22,13352,156,4753.26
01/01/23,7736,157,4736.02
08/01/23,4534,158,4718.78
15/01/23,9525,159,4701.54
22/01/23,4570,160,4684.3
29/01/23,4520,161,4667.06
05/02/23,2644,162,4649.82
12/02/23,2334,163,4632.58
19/02/23,2072,164,4615.34
26/02/23,1868,165,4598.1
05/03/23,1888,166,4580.86
12/03/23,1254,167,4563.62
19/03/23,1791,168,4546.38
26/03/23,1882,169,4529.14
02/04/23,2550,170,4511.9
09/04/23,0,171,4494.66
16/04/23,1918,172,4477.42
23/04/23,691,173,4460.18
30/04/23,750,174,4442.94
07/05/23,652,175,4425.7
14/05/23,1445,176,4408.46
21/05/23,2,177,4391.22
28/05/23,2,178,4373.98
04/06/23,2,179,4356.74
11/06/23,3,180,4339.5
18/06/23,1,181,4322.26
25/06/23,0,182,4305.02
02/07/23,2,183,4287.78
09/07/23,2,184,4270.54
16/07/23,3,185,4253.3
23/07/23,3,186,4236.06
30/07/23,2,187,4218.82
06/08/23,3,188,4201.58
13/08/23,1,189,4184.34
20/08/23,4,190,4167.1
27/08/23,1,191,4149.86
03/09/23,2,192,4132.62
10/09/23,1,193,4115.38
17/09/23,0,194,4098.14
24/09/23,1,195,4080.9
01/10/23,0,196,4063.66
08/10/23,0,197,4046.42
15/10/23,0,198,4029.18
22/10/23,0,199,4011.94
29/10/23,0,200,3994.7
05/11/23,0,201,3977.46
12/11/23,1,202,3960.22
19/11/23,0,203,3942.98
26/11/23,0,204,3925.74
03/12/23,2,205,3908.5
10/12/23,0,206,3891.26
17/12/23,0,207,3874.02
24/12/23,0,208,3856.78
31/12/23,1,209,3839.54
07/01/24,1,210,3822.3
14/01/24,2,211,3805.06
21/01/24,6,212,3787.82
28/01/24,5,213,3770.58
04/02/24,1,214,3753.34
11/02/24,2,215,3736.1
18/02/24,6,216,3718.86
25/02/24,5,217,3701.62
03/03/24,1,218,3684.38
10/03/24,0,219,3667.14
17/03/24,6,220,3649.9
24/03/24,2,221,3632.66
31/03/24,3,222,3615.42
07/04/24,1,223,3598.18
14/04/24,3,224,3580.94
21/04/24,4,225,3563.7
28/04/24,1,226,3546.46
05/05/24,0,227,3529.22
12/05/24,2,228,3511.98
19/05/24,0,229,3494.74
20/05/24,,230,3477.5
21/05/24,,231,3460.26
22/05/24,,232,3443.02
23/05/24,,233,3425.78
24/05/24,,234,3408.54
25/05/24,,235,3391.3
26/05/24,,236,3374.06
27/05/24,,237,3356.82
28/05/24,,238,3339.58
29/05/24,,239,3322.34
30/05/24,,240,3305.1
31/05/24,,241,3287.86
01/06/24,,242,3270.62
02/06/24,,243,3253.38
03/06/24,,244,3236.14
04/06/24,,245,3218.9
05/06/24,,246,3201.66
06/06/24,,247,3184.42
07/06/24,,248,3167.18
08/06/24,,249,3149.94
09/06/24,,250,3132.7
10/06/24,,251,3115.46
11/06/24,,252,3098.22
12/06/24,,253,3080.98
13/06/24,,254,3063.74
14/06/24,,255,3046.5
15/06/24,,256,3029.26
16/06/24,,257,3012.02
17/06/24,,258,2994.78
18/06/24,,259,2977.54
19/06/24,,260,2960.3
20/06/24,,261,2943.06
21/06/24,,262,2925.82
22/06/24,,263,2908.58
23/06/24,,264,2891.34
24/06/24,,265,2874.1
